asset_id,runtime_sha256,review_decision,semantic_fit,text_policy,admission_scope,review_note
"item.consumable.medkit","EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"item.consumable.syringe","1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"item.equipment.flashlight","339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"item.equipment.goggles","24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"item.recovered.ore","78860D8DC692B4D2A4F6B1F985AF885F34B478B315B121C849EA5BDACD85D574","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.01_cheli_zhuangzhi_an","FCE7959AE7A20F51707DC29AA16BD35448C26B1E11BE16A4B966E90B2E018F2A","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.02_cheli_zhuangzhi_liang","50B4239F76BF654686972C1D6D238F8481B29F7EAA6E0A99E3EBF1E1949146B2","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.04_shangren_tai","56C00AFD49CA374A53C9DC81A7E81883BD97CB0A995747C0108FD45D9B86C07F","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.05_yichang_hexin","1AF589B83403E204126CA1F7402158ACC183FB47CEC733B5FE75285505092908","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.07_lingjian_dui","609C73CDDC5300809CF78E8E341DF5F077916CC8983BC0847FBFC9006AB9B6A6","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.08_saomiaoyi","CFA8A370608EFB8C9BCCB747F143D06C45ECF19BC67AFB5A76E2F303047F3810","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.10_yiliaobao","7CF0D291EAA59A94FCA3B321443B98D281FBDB33A1302C8B75E3AD0606F08D63","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"prop.art07.11_wuzi_xiang","6D2CF9DC683B69DF9CB9F428A764CB47F966987DFF426C27F8E8AAD72886BDDC","visual_reviewed_staging_reference","visually_coherent_unproven_consumer","mixed_or_text_free","staging_reference_not_admitted","Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
"ui.art19.scrollbar.vertical","6F4CEBABB51384A31E306D57475A6AD1EE2E5F02179844C55B66C4798A9A7906","visual_reviewed_existing_runtime","fit","text_free","existing_consumer_only","Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion."
"ui.art19.bar.summary_dark","DDE95EBD216C273230DE0E2776F445AE97D38B4C370FC2C4765AC24CFC468558","visual_reviewed_existing_runtime","fit","text_free","existing_consumer_only","Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion."
